date,Deer,Raccoon,Trash,People,Scenic,Dog,GBH,Songbird,Turkey,Cattle,Waterfowl ,Wading Bird 
2025-05-22,3,3,0,0,0,0,0,0,0,0,0,0
2025-05-23,2,0,0,0,0,0,2,0,0,0,0,0
2025-05-24,5,4,0,0,0,0,1,0,0,0,0,0
2025-05-25,3,3,0,0,0,0,0,0,0,0,0,0
2025-05-26,1,0,0,0,0,0,1,0,0,0,0,1
2025-05-27,4,0,0,0,0,0,0,1,0,0,0,0
2025-05-28,38,0,0,0,0,0,0,0,0,0,0,0
2025-05-29,10,2,0,0,0,0,0,0,0,0,0,0
2025-05-30,10,0,0,0,0,0,0,1,0,0,0,0
2025-05-31,7,0,0,0,0,0,0,0,0,0,0,0
2025-06-01,30,0,0,0,0,0,0,0,0,0,0,0
2025-06-02,3,0,0,0,0,0,0,0,0,0,0,0
2025-06-03,7,1,0,0,0,0,0,0,0,0,0,0
2025-06-04,3,0,0,0,0,1,0,0,0,0,0,0
2025-06-05,16,0,0,0,0,0,0,0,0,0,0,0
2025-06-06,12,0,0,0,0,0,0,0,0,0,0,0
2025-06-08,1,1,0,0,0,0,0,1,0,0,0,0
2025-06-09,3,0,0,0,0,0,0,0,0,0,0,0
2025-06-10,49,4,0,0,0,0,0,0,0,0,0,0
2025-06-11,10,0,0,0,0,0,0,0,0,0,0,0
2025-06-12,18,0,10,0,0,0,0,0,0,0,0,0
2025-06-13,58,1,21,0,0,0,0,0,1,0,0,0
2025-06-14,4,1,3,0,1,0,0,0,0,0,0,0
2025-06-15,2,0,0,0,0,0,0,0,0,0,1,0
2025-06-16,4,2,0,0,0,0,0,0,0,0,0,0
2025-06-17,1,1,0,0,0,0,0,0,0,0,0,0
2025-06-18,2,2,0,0,0,0,0,0,0,0,0,0
2025-06-19,2,1,0,0,1,0,0,0,0,0,0,0
2025-06-20,6,5,0,0,0,0,0,0,0,0,0,0
2025-06-21,7,6,0,0,1,0,0,0,0,0,0,0
2025-06-22,3,1,0,0,0,0,0,0,0,0,0,0
2025-06-23,1,1,0,0,0,0,0,0,0,0,0,0
2025-06-25,5,0,0,0,0,0,5,0,0,0,0,0
2025-06-26,16,0,0,0,0,0,16,0,0,0,0,0
2025-06-27,12,0,0,0,0,0,12,0,0,0,0,0
2025-06-28,19,0,0,0,0,0,19,0,0,0,0,0
2025-06-29,2,0,0,0,0,0,2,0,0,0,0,0
2025-06-30,6,0,0,0,0,0,6,0,0,0,0,0
2025-07-01,1,0,0,0,0,0,1,0,0,0,0,0
